日期, 在售二手房, 在售新房楼盘
2021-09-24 12:28:48, 88129, 226
2021-09-24 12:29:01, 88130, 226
2021-09-24 16:52:26, 88240, 226
2021-09-24 16:53:25, 88238, 226
2021-09-24 16:55:57, 88238, 226
2021-09-24 16:57:45, 88240, 226
2021-09-24 16:59:36, 88244, 226
2021-09-24 17:01:04, 88241, 226
2021-09-24 17:02:24, 88241, 226
2021-09-26 13:50:56, 88527, 226
2021-09-27 10:06:13, 88521, 226
2021-09-27 10:11:59, 88523, 226
2021-09-27 10:25:47, 88528, 226
2021-09-27 10:27:07, 88533, 226
2021-09-27 10:56:03, 88526, 226
2021-09-27 10:57:01, 88526, 226
2021-09-28 14:31:49, 88586, 227
2021-09-28 14:58:11, 88594, 227
2021-09-28 14:58:43, 88594, 227
2021-09-29 09:34:36, 88721, 228
2021-09-29 11:17:01, 88742, 228
2021-09-29 11:20:31, 88741, 228
2021-09-29 11:21:42, 88749, 228
2021-09-29 11:24:02, 88749, 228
2021-09-29 11:28:38, 88741, 228
2021-09-29 11:33:37, 88742, 228
2021-09-29 11:36:10, 88745, 228
2021-09-29 11:37:26, 88745, 228
2021-09-30 10:00:01, 88890, 228
2021-10-08 10:00:01, 88514, 234
2021-10-09 10:00:01, 88650, 234
2021-10-10 10:00:02, 88979, 236
2021-10-11 10:00:01, 88995, 236
2021-10-12 10:00:01, 88840, 236
2021-10-14 10:00:01, 89097, 240
2021-10-15 10:00:04, 89311, 240
2021-10-17 10:00:02, 89490, 241
2021-10-18 10:00:01, 89428, 241
2021-10-19 10:00:02, 89351, 242
2021-10-20 10:00:02, 89411, 241
2021-10-21 10:00:01, 89505, 242
2021-10-22 14:17:13, 89807, 254
2021-10-24 10:00:08, 89941, 253
2021-10-25 10:00:01, 89894, 253
2021-10-26 10:00:01, 89836, 257
2021-10-27 10:00:02, 89892, 256
2021-10-28 10:00:03, 90194, 258
2021-10-29 10:00:01, 90381, 258
2021-10-30 10:00:01, 90563, 261
2021-11-01 10:00:01, 90637, 262
2021-11-02 10:00:02, 90572, 262
2021-11-03 10:00:02, 90677, 262
2021-11-04 10:00:02, 90829, 263
2021-11-06 10:00:01, 91136, 261
2021-11-07 10:00:01, 91102, 261
2021-11-08 10:00:01, 91070, 261
2021-11-09 10:00:01, 88440, 261
2021-11-10 10:00:03, 88469, 261
2021-11-11 10:00:01, 88735, 263
2021-11-12 10:00:02, 88896, 263
2021-11-13 10:00:01, 88951, 263
2021-11-14 10:00:01, 88890, 263
2021-11-15 10:00:02, 88675, 263
2021-11-16 10:00:02, 88502, 263
2021-11-17 10:00:02, 88513, 263
2021-11-18 10:00:02, 88590, 267
